"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 2","3 wk ahead","Bin","percent",11.1,11.2,3.2e-11
"HHS Region 2","3 wk ahead","Bin","percent",11.2,11.3,1.8e-11
"HHS Region 2","3 wk ahead","Bin","percent",11.3,11.4,9.5e-12
"HHS Region 2","3 wk ahead","Bin","percent",11.4,11.5,5.1e-12
"HHS Region 2","3 wk ahead","Bin","percent",11.5,11.6,2.7e-12
"HHS Region 2","3 wk ahead","Bin","percent",11.6,11.7,1.4e-12
"HHS Region 2","3 wk ahead","Bin","percent",11.7,11.8,7.5e-13
"HHS Region 2","3 wk ahead","Bin","percent",11.8,11.9,3.9e-13
"HHS Region 2","3 wk ahead","Bin","percent",11.9,12,2e-13
"HHS Region 2","3 wk ahead","Bin","percent",12,12.1,1e-13
"HHS Region 2","3 wk ahead","Bin","percent",12.1,12.2,5.2e-14
"HHS Region 2","3 wk ahead","Bin","percent",12.2,12.3,2.6e-14
"HHS Region 2","3 wk ahead","Bin","percent",12.3,12.4,1.3e-14
"HHS Region 2","3 wk ahead","Bin","percent",12.4,12.5,6.3e-15
"HHS Region 2","3 wk ahead","Bin","percent",12.5,12.6,3.1e-15
"HHS Region 2","3 wk ahead","Bin","percent",12.6,12.7,1.5e-15
"HHS Region 2","3 wk ahead","Bin","percent",12.7,12.8,7.2e-16
"HHS Region 2","3 wk ahead","Bin","percent",12.8,12.9,3.4e-16
"HHS Region 2","3 wk ahead","Bin","percent",12.9,13,1.6e-16
"HHS Region 2","3 wk ahead","Bin","percent",13,100,7.5e-17
"HHS Region 2","4 wk ahead","Point","percent",NA,NA,4.2
"HHS Region 2","4 wk ahead","Bin","percent",0,0.1,2.3e-05
"HHS Region 2","4 wk ahead","Bin","percent",0.1,0.2,3.3e-05
"HHS Region 2","4 wk ahead","Bin","percent",0.2,0.3,4.6e-05
"HHS Region 2","4 wk ahead","Bin","percent",0.3,0.4,6.4e-05
"HHS Region 2","4 wk ahead","Bin","percent",0.4,0.5,8.8e-05
"HHS Region 2","4 wk ahead","Bin","percent",0.5,0.6,0.00012
"HHS Region 2","4 wk ahead","Bin","percent",0.6,0.7,0.00016
"HHS Region 2","4 wk ahead","Bin","percent",0.7,0.8,0.00022
"HHS Region 2","4 wk ahead","Bin","percent",0.8,0.9,0.00029
"HHS Region 2","4 wk ahead","Bin","percent",0.9,1,0.00039
"HHS Region 2","4 wk ahead","Bin","percent",1,1.1,0.00051
"HHS Region 2","4 wk ahead","Bin","percent",1.1,1.2,0.00066
"HHS Region 2","4 wk ahead","Bin","percent",1.2,1.3,0.00085
"HHS Region 2","4 wk ahead","Bin","percent",1.3,1.4,0.0011
"HHS Region 2","4 wk ahead","Bin","percent",1.4,1.5,0.0014
"HHS Region 2","4 wk ahead","Bin","percent",1.5,1.6,0.0017
"HHS Region 2","4 wk ahead","Bin","percent",1.6,1.7,0.0021
"HHS Region 2","4 wk ahead","Bin","percent",1.7,1.8,0.0026
"HHS Region 2","4 wk ahead","Bin","percent",1.8,1.9,0.0032
"HHS Region 2","4 wk ahead","Bin","percent",1.9,2,0.0039
"HHS Region 2","4 wk ahead","Bin","percent",2,2.1,0.0048
"HHS Region 2","4 wk ahead","Bin","percent",2.1,2.2,0.0057
"HHS Region 2","4 wk ahead","Bin","percent",2.2,2.3,0.0068
"HHS Region 2","4 wk ahead","Bin","percent",2.3,2.4,0.0079
"HHS Region 2","4 wk ahead","Bin","percent",2.4,2.5,0.0093
"HHS Region 2","4 wk ahead","Bin","percent",2.5,2.6,0.011
"HHS Region 2","4 wk ahead","Bin","percent",2.6,2.7,0.012
"HHS Region 2","4 wk ahead","Bin","percent",2.7,2.8,0.014
"HHS Region 2","4 wk ahead","Bin","percent",2.8,2.9,0.016
"HHS Region 2","4 wk ahead","Bin","percent",2.9,3,0.018
"HHS Region 2","4 wk ahead","Bin","percent",3,3.1,0.02
"HHS Region 2","4 wk ahead","Bin","percent",3.1,3.2,0.022
"HHS Region 2","4 wk ahead","Bin","percent",3.2,3.3,0.024
"HHS Region 2","4 wk ahead","Bin","percent",3.3,3.4,0.026
"HHS Region 2","4 wk ahead","Bin","percent",3.4,3.5,0.028
"HHS Region 2","4 wk ahead","Bin","percent",3.5,3.6,0.029
"HHS Region 2","4 wk ahead","Bin","percent",3.6,3.7,0.031
"HHS Region 2","4 wk ahead","Bin","percent",3.7,3.8,0.032
"HHS Region 2","4 wk ahead","Bin","percent",3.8,3.9,0.034
"HHS Region 2","4 wk ahead","Bin","percent",3.9,4,0.035
"HHS Region 2","4 wk ahead","Bin","percent",4,4.1,0.036
"HHS Region 2","4 wk ahead","Bin","percent",4.1,4.2,0.036
"HHS Region 2","4 wk ahead","Bin","percent",4.2,4.3,0.036
"HHS Region 2","4 wk ahead","Bin","percent",4.3,4.4,0.036
"HHS Region 2","4 wk ahead","Bin","percent",4.4,4.5,0.036
"HHS Region 2","4 wk ahead","Bin","percent",4.5,4.6,0.035
"HHS Region 2","4 wk ahead","Bin","percent",4.6,4.7,0.034
"HHS Region 2","4 wk ahead","Bin","percent",4.7,4.8,0.033
"HHS Region 2","4 wk ahead","Bin","percent",4.8,4.9,0.032
"HHS Region 2","4 wk ahead","Bin","percent",4.9,5,0.03
"HHS Region 2","4 wk ahead","Bin","percent",5,5.1,0.028
"HHS Region 2","4 wk ahead","Bin","percent",5.1,5.2,0.026
"HHS Region 2","4 wk ahead","Bin","percent",5.2,5.3,0.024
"HHS Region 2","4 wk ahead","Bin","percent",5.3,5.4,0.022
"HHS Region 2","4 wk ahead","Bin","percent",5.4,5.5,0.02
"HHS Region 2","4 wk ahead","Bin","percent",5.5,5.6,0.018
"HHS Region 2","4 wk ahead","Bin","percent",5.6,5.7,0.016
"HHS Region 2","4 wk ahead","Bin","percent",5.7,5.8,0.015
"HHS Region 2","4 wk ahead","Bin","percent",5.8,5.9,0.013
"HHS Region 2","4 wk ahead","Bin","percent",5.9,6,0.011
"HHS Region 2","4 wk ahead","Bin","percent",6,6.1,0.0098
"HHS Region 2","4 wk ahead","Bin","percent",6.1,6.2,0.0084
"HHS Region 2","4 wk ahead","Bin","percent",6.2,6.3,0.0072
"HHS Region 2","4 wk ahead","Bin","percent",6.3,6.4,0.0061
"HHS Region 2","4 wk ahead","Bin","percent",6.4,6.5,0.0051
"HHS Region 2","4 wk ahead","Bin","percent",6.5,6.6,0.0042
"HHS Region 2","4 wk ahead","Bin","percent",6.6,6.7,0.0035
"HHS Region 2","4 wk ahead","Bin","percent",6.7,6.8,0.0029
"HHS Region 2","4 wk ahead","Bin","percent",6.8,6.9,0.0023
"HHS Region 2","4 wk ahead","Bin","percent",6.9,7,0.0019
"HHS Region 2","4 wk ahead","Bin","percent",7,7.1,0.0015
"HHS Region 2","4 wk ahead","Bin","percent",7.1,7.2,0.0012
"HHS Region 2","4 wk ahead","Bin","percent",7.2,7.3,0.00092
"HHS Region 2","4 wk ahead","Bin","percent",7.3,7.4,0.00072
"HHS Region 2","4 wk ahead","Bin","percent",7.4,7.5,0.00056
"HHS Region 2","4 wk ahead","Bin","percent",7.5,7.6,0.00043
"HHS Region 2","4 wk ahead","Bin","percent",7.6,7.7,0.00032
"HHS Region 2","4 wk ahead","Bin","percent",7.7,7.8,0.00024
"HHS Region 2","4 wk ahead","Bin","percent",7.8,7.9,0.00018
"HHS Region 2","4 wk ahead","Bin","percent",7.9,8,0.00013
"HHS Region 2","4 wk ahead","Bin","percent",8,8.1,9.9e-05
"HHS Region 2","4 wk ahead","Bin","percent",8.1,8.2,7.2e-05
"HHS Region 2","4 wk ahead","Bin","percent",8.2,8.3,5.2e-05
"HHS Region 2","4 wk ahead","Bin","percent",8.3,8.4,3.7e-05
"HHS Region 2","4 wk ahead","Bin","percent",8.4,8.5,2.7e-05
"HHS Region 2","4 wk ahead","Bin","percent",8.5,8.6,1.9e-05
"HHS Region 2","4 wk ahead","Bin","percent",8.6,8.7,1.3e-05
"HHS Region 2","4 wk ahead","Bin","percent",8.7,8.8,9.1e-06
"HHS Region 2","4 wk ahead","Bin","percent",8.8,8.9,6.3e-06
"HHS Region 2","4 wk ahead","Bin","percent",8.9,9,4.3e-06
"HHS Region 2","4 wk ahead","Bin","percent",9,9.1,2.9e-06
"HHS Region 2","4 wk ahead","Bin","percent",9.1,9.2,1.9e-06
"HHS Region 2","4 wk ahead","Bin","percent",9.2,9.3,1.3e-06
"HHS Region 2","4 wk ahead","Bin","percent",9.3,9.4,8.5e-07
"HHS Region 2","4 wk ahead","Bin","percent",9.4,9.5,5.6e-07
"HHS Region 2","4 wk ahead","Bin","percent",9.5,9.6,3.6e-07
"HHS Region 2","4 wk ahead","Bin","percent",9.6,9.7,2.3e-07
"HHS Region 2","4 wk ahead","Bin","percent",9.7,9.8,1.5e-07
"HHS Region 2","4 wk ahead","Bin","percent",9.8,9.9,9.4e-08
"HHS Region 2","4 wk ahead","Bin","percent",9.9,10,5.9e-08
"HHS Region 2","4 wk ahead","Bin","percent",10,10.1,3.7e-08
"HHS Region 2","4 wk ahead","Bin","percent",10.1,10.2,2.3e-08
"HHS Region 2","4 wk ahead","Bin","percent",10.2,10.3,1.4e-08
"HHS Region 2","4 wk ahead","Bin","percent",10.3,10.4,8.5e-09
"HHS Region 2","4 wk ahead","Bin","percent",10.4,10.5,5.1e-09
"HHS Region 2","4 wk ahead","Bin","percent",10.5,10.6,3.1e-09
"HHS Region 2","4 wk ahead","Bin","percent",10.6,10.7,1.8e-09
"HHS Region 2","4 wk ahead","Bin","percent",10.7,10.8,1.1e-09
"HHS Region 2","4 wk ahead","Bin","percent",10.8,10.9,6.2e-10
"HHS Region 2","4 wk ahead","Bin","percent",10.9,11,3.6e-10
"HHS Region 2","4 wk ahead","Bin","percent",11,11.1,2.1e-10
"HHS Region 2","4 wk ahead","Bin","percent",11.1,11.2,1.2e-10
"HHS Region 2","4 wk ahead","Bin","percent",11.2,11.3,6.6e-11
"HHS Region 2","4 wk ahead","Bin","percent",11.3,11.4,3.7e-11
"HHS Region 2","4 wk ahead","Bin","percent",11.4,11.5,2.1e-11
"HHS Region 2","4 wk ahead","Bin","percent",11.5,11.6,1.1e-11
"HHS Region 2","4 wk ahead","Bin","percent",11.6,11.7,6.2e-12
"HHS Region 2","4 wk ahead","Bin","percent",11.7,11.8,3.4e-12
"HHS Region 2","4 wk ahead","Bin","percent",11.8,11.9,1.8e-12
"HHS Region 2","4 wk ahead","Bin","percent",11.9,12,9.6e-13
"HHS Region 2","4 wk ahead","Bin","percent",12,12.1,5.1e-13
"HHS Region 2","4 wk ahead","Bin","percent",12.1,12.2,2.7e-13
"HHS Region 2","4 wk ahead","Bin","percent",12.2,12.3,1.4e-13
"HHS Region 2","4 wk ahead","Bin","percent",12.3,12.4,7.1e-14
"HHS Region 2","4 wk ahead","Bin","percent",12.4,12.5,3.6e-14
"HHS Region 2","4 wk ahead","Bin","percent",12.5,12.6,1.8e-14
"HHS Region 2","4 wk ahead","Bin","percent",12.6,12.7,9.3e-15
"HHS Region 2","4 wk ahead","Bin","percent",12.7,12.8,4.6e-15
"HHS Region 2","4 wk ahead","Bin","percent",12.8,12.9,2.3e-15
"HHS Region 2","4 wk ahead","Bin","percent",12.9,13,1.1e-15
"HHS Region 2","4 wk ahead","Bin","percent",13,100,5.5e-16
